Gemcodel,Gemeentenaam,provcodel
3,Appingedam,Groningen
5,Bedum,Groningen
7,Bellingwedde,Groningen
9,Ten Boer,Groningen
10,Delfzijl,Groningen
1651,Eemsmond,Groningen
14,Groningen,Groningen
15,Grootegast,Groningen
17,Haren,Groningen
18,Hoogezand-Sappemeer,Groningen
22,Leek,Groningen
24,Loppersum,Groningen
1663,De Marne,Groningen
25,Marum,Groningen
1987,Menterwolde,Groningen
765,Pekela,Groningen
1661,Reiderland,Groningen
39,Scheemda,Groningen
40,Slochteren,Groningen
37,Stadskanaal,Groningen
47,Veendam,Groningen
48,Vlagtwedde,Groningen
52,Winschoten,Groningen
53,Winsum,Groningen
56,Zuidhorn,Groningen
59,Achtkarspelen,Friesland
60,Ameland,Friesland
63,het Bildt,Friesland
55,Boarnsterhim,Friesland
64,Bolsward,Friesland
65,Dantumadeel,Friesland
58,Dongeradeel,Friesland
1722,Ferwerderadiel,Friesland
70,Franekeradeel,Friesland
653,Gaasterlân-Sleat,Friesland
72,Harlingen,Friesland
74,Heerenveen,Friesland
79,Kollumerland en Nieuwkruisland,Friesland
80,Leeuwarden,Friesland
81,Leeuwarderadeel,Friesland
82,Lemsterland,Friesland
140,Littenseradiel,Friesland
83,Menaldumadeel,Friesland
104,Nijefurd,Friesland
85,Ooststellingwerf,Friesland
86,Opsterland,Friesland
88,Schiermonnikoog,Friesland
51,Skarsterlân,Friesland
90,Smallingerland,Friesland
91,Sneek,Friesland
93,Terschelling,Friesland
737,Tytsjerksteradiel,Friesland
96,Vlieland,Friesland
98,Weststellingwerf,Friesland
710,Wûnseradiel,Friesland
683,Wymbritseradiel,Friesland
1680,Aa en Hunze,Drenthe
106,Assen,Drenthe
1681,Borger-Odoorn,Drenthe
109,Coevorden,Drenthe
114,Emmen,Drenthe
118,Hoogeveen,Drenthe
119,Meppel,Drenthe
1731,Midden-Drenthe,Drenthe
1699,Noordenveld,Drenthe
1730,Tynaarlo,Drenthe
1701,Westerveld,Drenthe
1690,De Wolden,Drenthe
141,Almelo,Overijssel
147,Borne,Overijssel
148,Dalfsen,Overijssel
150,Deventer,Overijssel
1774,Dinkelland,Overijssel
153,Enschede,Overijssel
158,Haaksbergen,Overijssel
160,Hardenberg,Overijssel
163,Hellendoorn,Overijssel
164,Hengelo,Overijssel
1735,Hof van Twente,Overijssel
166,Kampen,Overijssel
168,Losser,Overijssel
173,Oldenzaal,Overijssel
1773,Olst-Wijhe,Overijssel
175,Ommen,Overijssel
177,Raalte,Overijssel
1742,Rijssen-Holten,Overijssel
180,Staphorst,Overijssel
1708,Steenwijkerland,Overijssel
183,Tubbergen,Overijssel
1700,Twenterand,Overijssel
189,Wierden,Overijssel
1896,Zwartewaterland,Overijssel
193,Zwolle,Overijssel
34,Almere,Flevoland
303,Dronten,Flevoland
995,Lelystad,Flevoland
171,Noordoostpolder,Flevoland
184,Urk,Flevoland
50,Zeewolde,Flevoland
197,Aalten,Gelderland
200,Apeldoorn,Gelderland
202,Arnhem,Gelderland
203,Barneveld,Gelderland
1859,Berkelland,Gelderland
209,Beuningen,Gelderland
1876,Bronckhorst,Gelderland
213,Brummen,Gelderland
214,Buren,Gelderland
216,Culemborg,Gelderland
221,Doesburg,Gelderland
222,Doetinchem,Gelderland
225,Druten,Gelderland
226,Duiven,Gelderland
228,Ede,Gelderland
230,Elburg,Gelderland
232,Epe,Gelderland
233,Ermelo,Gelderland
236,Geldermalsen,Gelderland
240,Groenlo,Gelderland
241,Groesbeek,Gelderland
243,Harderwijk,Gelderland
244,Hattem,Gelderland
246,Heerde,Gelderland
252,Heumen,Gelderland
733,Lingewaal,Gelderland
1705,Lingewaard,Gelderland
262,Lochem,Gelderland
263,Maasdriel,Gelderland
265,Millingen aan de Rijn,Gelderland
1955,Montferland,Gelderland
1740,Neder-Betuwe,Gelderland
304,Neerijnen,Gelderland
267,Nijkerk,Gelderland
268,Nijmegen,Gelderland
302,Nunspeet,Gelderland
