Gemcodel,Gemcod,provcode,provcodel
3,Appingedam,20,Groningen
5,Bedum,20,Groningen
7,Bellingwedde,20,Groningen
9,Ten Boer,20,Groningen
10,Delfzijl,20,Groningen
1651,Eemsmond,20,Groningen
14,Groningen,20,Groningen
15,Grootegast,20,Groningen
17,Haren,20,Groningen
18,Hoogezand-Sappemeer,20,Groningen
22,Leek,20,Groningen
24,Loppersum,20,Groningen
1663,De Marne,20,Groningen
25,Marum,20,Groningen
1987,Menterwolde,20,Groningen
1895,Oldambt,20,Groningen
765,Pekela,20,Groningen
40,Slochteren,20,Groningen
37,Stadskanaal,20,Groningen
47,Veendam,20,Groningen
48,Vlagtwedde,20,Groningen
53,Winsum,20,Groningen
56,Zuidhorn,20,Groningen
59,Achtkarspelen,21,Friesland
60,Ameland,21,Friesland
63,het Bildt,21,Friesland
55,Boarnsterhim,21,Friesland
1891,Dantumadiel,21,Friesland
58,Dongeradeel,21,Friesland
1722,Ferwerderadiel,21,Friesland
70,Franekeradeel,21,Friesland
653,Gaasterlân-Sleat,21,Friesland
72,Harlingen,21,Friesland
74,Heerenveen,21,Friesland
79,Kollumerland en Nieuwkruisland,21,Friesland
80,Leeuwarden,21,Friesland
81,Leeuwarderadeel,21,Friesland
82,Lemsterland,21,Friesland
140,Littenseradiel,21,Friesland
1908,Menameradiel,21,Friesland
85,Ooststellingwerf,21,Friesland
86,Opsterland,21,Friesland
88,Schiermonnikoog,21,Friesland
51,Skarsterlân,21,Friesland
90,Smallingerland,21,Friesland
1900,Súdwest-Fryslân,21,Friesland
93,Terschelling,21,Friesland
737,Tytsjerksteradiel,21,Friesland
96,Vlieland,21,Friesland
98,Weststellingwerf,21,Friesland
1680,Aa en Hunze,22,Drenthe
106,Assen,22,Drenthe
1681,Borger-Odoorn,22,Drenthe
109,Coevorden,22,Drenthe
114,Emmen,22,Drenthe
118,Hoogeveen,22,Drenthe
119,Meppel,22,Drenthe
1731,Midden-Drenthe,22,Drenthe
1699,Noordenveld,22,Drenthe
1730,Tynaarlo,22,Drenthe
1701,Westerveld,22,Drenthe
1690,De Wolden,22,Drenthe
141,Almelo,23,Overijssel
147,Borne,23,Overijssel
148,Dalfsen,23,Overijssel
150,Deventer,23,Overijssel
1774,Dinkelland,23,Overijssel
153,Enschede,23,Overijssel
158,Haaksbergen,23,Overijssel
160,Hardenberg,23,Overijssel
163,Hellendoorn,23,Overijssel
164,Hengelo,23,Overijssel
1735,Hof van Twente,23,Overijssel
166,Kampen,23,Overijssel
168,Losser,23,Overijssel
173,Oldenzaal,23,Overijssel
1773,Olst-Wijhe,23,Overijssel
175,Ommen,23,Overijssel
177,Raalte,23,Overijssel
1742,Rijssen-Holten,23,Overijssel
180,Staphorst,23,Overijssel
1708,Steenwijkerland,23,Overijssel
183,Tubbergen,23,Overijssel
1700,Twenterand,23,Overijssel
189,Wierden,23,Overijssel
1896,Zwartewaterland,23,Overijssel
193,Zwolle,23,Overijssel
34,Almere,24,Flevoland
303,Dronten,24,Flevoland
995,Lelystad,24,Flevoland
171,Noordoostpolder,24,Flevoland
184,Urk,24,Flevoland
50,Zeewolde,24,Flevoland
197,Aalten,25,Gelderland
200,Apeldoorn,25,Gelderland
202,Arnhem,25,Gelderland
203,Barneveld,25,Gelderland
1859,Berkelland,25,Gelderland
209,Beuningen,25,Gelderland
1876,Bronckhorst,25,Gelderland
213,Brummen,25,Gelderland
214,Buren,25,Gelderland
216,Culemborg,25,Gelderland
221,Doesburg,25,Gelderland
222,Doetinchem,25,Gelderland
225,Druten,25,Gelderland
226,Duiven,25,Gelderland
228,Ede,25,Gelderland
230,Elburg,25,Gelderland
232,Epe,25,Gelderland
233,Ermelo,25,Gelderland
236,Geldermalsen,25,Gelderland
241,Groesbeek,25,Gelderland
243,Harderwijk,25,Gelderland
244,Hattem,25,Gelderland
246,Heerde,25,Gelderland
252,Heumen,25,Gelderland
733,Lingewaal,25,Gelderland
